Ano,RestaurantesAbertos
1962,1
1976,979
1992,5108
2009,26309
1991,5948
1968,312
1966,1128
2011,52075
1988,4219
2003,4476
1987,4165
2007,21559
1975,786
1923,1
2019,66186
1961,2
2008,23145
2006,13622
2015,57660
2002,4763
1993,5569
1999,5465
1972,592
1971,554
1973,701
1994,5545
1989,5116
1998,5138
1985,2951
1969,406
1995,5303
1958,2
1980,1884
1964,1
1959,2
2000,5044
1983,2385
1967,281
1984,2407
2004,4834
2010,46812
2016,54223
1979,1876
1986,4846
1960,3
1978,1717
2005,5408
1996,5035
1956,1
1977,1929
2012,52543
2014,56805
1974,681
1970,347
2013,58113
2018,60008
1981,1872
1982,2134
1953,1
1990,5830
1965,36
2020,53284
2017,57022
2001,5039
1997,5462
1955,2
1957,1
1948,1
